@T,discharge,
Author,Silvia Franceschi,
DataSource,AdB database,
DateFormat,yyyy-MM-dd HH:mm,
,,
@H,date,discharge
id,,0
Type,date,real
,2012-01-01 00:00,22.3
,2012-01-01 01:00,22.8
,2012-01-01 02:00,23.3
,2012-01-01 03:00,23.97
,2012-01-01 04:00,24.77
,2012-01-01 05:00,26.4
,2012-01-01 06:00,27.63
,2012-01-01 07:00,28.3
,2012-01-01 08:00,28.3
,2012-01-01 09:00,28.3
,2012-01-01 10:00,28.3
,2012-01-01 11:00,28.3
,2012-01-01 12:00,28.3
,2012-01-01 13:00,28.3
,2012-01-01 14:00,28.3
,2012-01-01 15:00,28.63
,2012-01-01 16:00,28.8
,2012-01-01 17:00,28.8
,2012-01-01 18:00,28.8
,2012-01-01 19:00,28.8
,2012-01-01 20:00,28.8
,2012-01-01 21:00,28.8
,2012-01-01 22:00,28.8
,2012-01-01 23:00,28.8
,2012-01-02 00:00,28.8
,2012-01-02 01:00,28.47
,2012-01-02 02:00,28.3
,2012-01-02 03:00,28.3
,2012-01-02 04:00,28.3
,2012-01-02 05:00,27.8
,2012-01-02 06:00,27.8
,2012-01-02 07:00,27.3
,2012-01-02 08:00,26.9
,2012-01-02 09:00,26.37
,2012-01-02 10:00,26.03
,2012-01-02 11:00,25.7
,2012-01-02 12:00,25.7
,2012-01-02 13:00,25.7
,2012-01-02 14:00,25.2
,2012-01-02 15:00,25.2
,2012-01-02 16:00,25.2
,2012-01-02 17:00,25.2
,2012-01-02 18:00,25.2
,2012-01-02 19:00,25.2
,2012-01-02 20:00,25.2
,2012-01-02 21:00,25.2
,2012-01-02 22:00,25.2
,2012-01-02 23:00,25.7
,2012-01-03 00:00,26.03
,2012-01-03 01:00,26.53
,2012-01-03 02:00,27.3
,2012-01-03 03:00,27.97
,2012-01-03 04:00,28.47
,2012-01-03 05:00,28.8
,2012-01-03 06:00,29.5
,2012-01-03 07:00,29.9
,2012-01-03 08:00,30.4
,2012-01-03 09:00,30.9
,2012-01-03 10:00,31.1
,2012-01-03 11:00,31.83
,2012-01-03 12:00,32.6
,2012-01-03 13:00,33.3
,2012-01-03 14:00,33.7
,2012-01-03 15:00,33.7
,2012-01-03 16:00,33.7
,2012-01-03 17:00,33.7
,2012-01-03 18:00,33.7
,2012-01-03 19:00,33.3
,2012-01-03 20:00,32.6
,2012-01-03 21:00,32.6
,2012-01-03 22:00,32.97
,2012-01-03 23:00,35.03
,2012-01-04 00:00,37.33
,2012-01-04 01:00,38.5
,2012-01-04 02:00,39.1
,2012-01-04 03:00,40.7
,2012-01-04 04:00,42
,2012-01-04 05:00,42.4
,2012-01-04 06:00,41.97
,2012-01-04 07:00,40.1
,2012-01-04 08:00,38.3
,2012-01-04 09:00,36.77
,2012-01-04 10:00,36
,2012-01-04 11:00,35.4
,2012-01-04 12:00,35.4
,2012-01-04 13:00,36
,2012-01-04 14:00,36.93
,2012-01-04 15:00,37.7
,2012-01-04 16:00,38.3
,2012-01-04 17:00,39.1
,2012-01-04 18:00,40.1
,2012-01-04 19:00,41.97
,2012-01-04 20:00,43.6
,2012-01-04 21:00,44.9
,2012-01-04 22:00,45.7
,2012-01-04 23:00,45.7
,2012-01-05 00:00,44.7
,2012-01-05 01:00,44.03
,2012-01-05 02:00,43.8
